"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
12,"NCT04321421","Hyperimmune Plasma for Critical Patients With COVID-19","COV19-PLASMA","Active, not recruiting","No Results Available","COVID-19","Other: hyperimmune plasma","death|time to extubation|length of intensive care unit stay|time to CPAP weaning|viral load|immune response","Foundation IRCCS San Matteo Hospital|OSPEDALE CARLO POMA ASST MANTOVA|OSPEDALE MAGGIORE LODI|OSPEDALE ASST CREMONA","All","18 Years and older   (Adult, Older Adult)","Not Applicable","49","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRCCSSanMatteoH","March 17, 2020","May 31, 2020","May 31, 2020","March 25, 2020",,"March 25, 2020","Catherine Klersy, Pavia, PV, Italy",,"https://ClinicalTrials.gov/show/NCT04321421"
13,"NCT04325633","Efficacy of Addition of Naproxen in the Treatment of Critically Ill Patients Hospitalized for COVID-19 Infection","ENACOVID","Not yet recruiting","No Results Available","COVID-19","Drug: 1: Naproxen|Drug: 2: Standard of care","Mortality all causes at day30|Number of days alive free of mechanical ventilation|Number of days alive outside|Number of days alive outside hospital|Maximal changes in Sofa score|Time to negativation of virus titer in the nasopharyngeal aspirate (NPA)","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 3","584","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APHP200387","March 27, 2020","April 27, 2021","June 27, 2021","March 27, 2020",,"March 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04325633"
14,"NCT04323332","Traditional Chinese Medicine for Severe COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Traditional Chinese Medicine Prescription","Length of hospital stay (days)|Duration (days) of supplemental oxygenation|CT imaging changes|Mortality rate|Time to Clinical Improvement (TTCI)|The pneumonia severity index scores|Time to COVID-19 nucleic acid testing negativity in throat swab|Blood immune cell count|Serum inflammatory markers|Erythrocyte sedimentation rate|Platelet and D-dimer changes|Creatinine changes|Muscle enzymes changes|Usage of antibiotics|Usage of glucocorticoids|Frequency of adverse events","Xiyuan Hospital of China Academy of Chinese Medical Sciences","All","up to 85 Years   (Child, Adult, Older Adult)","Phase 3","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020XLA015-1","March 2020","March 2020","April 2020","March 26, 2020",,"March 26, 2020","Hao Li, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04323332"
15,"NCT04306497","Clinical Trial on Regularity of TCM Syndrome and Differentiation Treatment of COVID-19.","CTOROTSADTOC","Recruiting","No Results Available","COVID-19","Drug: TCM prescriptions","The relief / disappearance rate of main symptoms|Chest CT absorption|Virus antigen negative conversion rate|Clinical effective time: the average effective time|The number of severe and critical conversion cases|Incidence of complications|Traditional Chinese Medicine Syndrome Score","Jiangsu Famous Medical Technology Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)",,"340","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","JSZYJ202001","March 2, 2020","May 2020","May 2020","March 13, 2020",,"March 17, 2020","Huai'an fourth people's Hospital, Huaian, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT04306497"
16,"NCT04287686","Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19",,"Withdrawn","No Results Available","COVID-19","Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2)","Time course of body temperature (fever)|Viral load over time|P/F ratio over time|Sequential organ failure assessment score(SOFA score) over time|Pulmonary Severity Index (PSI)|Image examination of chest over time|Proportion of subjects who progressed to critical illness or death|Time from first dose to conversion to normal or mild pneumonia|T-lymphocyte counts over time|C-reactive protein levels over time|Angiotensin II (Ang II) changes over time|Angiotensin 1-7 (Ang 1-7) changes over time|Angiotensin 1-5 (Ang 1-5) changes over time|Renin changes over time|Aldosterone changes over time|Angiotensin-converting enzyme (ACE) changes over time|Angiotensin-converting enzyme 2 (ACE2) changes over time|Interleukin 6 (IL-6) changes over time|Interleukin 8 (IL-8) changes over time|Soluble tumor necrosis factor receptor type II (sTNFrII) changes over time|Plasminogen activator inhibitor type-1 (PAI-1) changes over time|Von willebrand factor (vWF) changes over time|Tumor necrosis factor-α (TNF-α) changes over time|Soluble receptor for advanced glycation end products (sRAGE) changes over time|Surfactant protein-D (SP-D) changes over time|Angiopoietin-2 changes over time|Frequency of adverse events and severe adverse events","The First Affiliated Hospital of Guangzhou Medical University","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GIRH-APN01","February 2020","April 2020","April 2020","February 27, 2020",,"March 17, 2020","GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04287686"
17,"NCT04324996","A Phase I/II Study of Universal Off-the-shelf NKG2D-ACE2 CAR-NK Cells for Therapy of COVID-19",,"Recruiting","No Results Available","COVID-19","Biological: NK cells,IL15-NK cells,NKG2D CAR-NK cells,ACE2 CAR-NK cells,NKG2D-ACE2 CAR-NK cells","Clinical response|Side effects in the treatment group","Chongqing Public Health Medical Center|Chongqing Sidemu Biotechnology Technology Co.,Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ChongqingPublicHMC","March 21, 2020","May 31, 2020","September 30, 2020","March 27, 2020",,"March 27, 2020","Chongqing Public Health Medical Center, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT04324996"
18,"NCT04321993","Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients",,"Not yet recruiting","No Results Available","COVID-19","Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine sulfate|Drug: Baricitinib (janus kinase inhibitor)|Drug: Sarilumab (anti-IL-6 receptor)","Clinical status of subject at day 15 (on a 7 point ordinal scale).|Status on an ordinal scale assessed daily while hospitalized and on days 15 and 29 and 180.|Length of time to clinical improvement|Number of participants with normal pulmonary function and normal O2 saturation on days 11, 15 and 29|Number of participants that developed Acute Respiratory Distress Syndrome (ARDS) after treatment|Length of time to clinical progression|Cause of death (if applicable)|Sequential Organ Failure Assessment (SOFA) score, daily while hospitalized and on days 15 and 29. (Initial, highest, deltas and mean)|Length of time to normalization of fever|Length of time to normalization of oxygen saturation|Duration of supplemental oxygen (if applicable)|Duration of mechanical ventilation (if applicable)|Duration of hospitalization|Adverse events","Lisa Barrett|Nova Scotia Health Authority|Dalhousie University","All","18 Years and older   (Adult, Older Adult)","Phase 2","1000","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SAIL-004","April 2020","February 2021","July 2021","March 26, 2020",,"April 7, 2020","Nova Scotia Health Authority, Halifax, Nova Scotia, Canada",,"https://ClinicalTrials.gov/show/NCT04321993"
19,"NCT04329832","Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19","HAHPS","Not yet recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Azithromycin","COVID Ordinal Outcomes Scale at 14 days|Hospital-free days at 28 days (number of days patient not in hospital)|Ventilator-free days at 28 days (number of days patient not on a ventilator)|ICU-free days at 28 days (number of days patient not in an ICU)|Time to a 1-point decrease in the WHO ordinal recovery score","Intermountain Health Care, Inc.|University of Utah","All","18 Years and older   (Adult, Older Adult)","Phase 2","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1051355","April 1, 2020","December 31, 2020","December 31, 2021","April 1, 2020",,"April 1, 2020","Intermountain Medical Center, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04329832"
20,"NCT04331171","Epidemiological Observation From a Smartphone Self-monitoring Application for Suspected COVID-19 Patients' Triage","COVID CALL 15","Recruiting","No Results Available","COVID-19","Device: Web application users","To assess of the evolution of the number of calls to Emergency service within 12 days after the launch of the application https://www.maladiecoronavirus.fr/|To assess of the evolution of the proportion of relevant calls to Emergency service within 12 days after the launch of the application https://www.maladiecoronavirus.fr/|To assess the evolution over time of the COVID 19 epidemic|To assess the evolution over space of the COVID 19 epidemic|To assess symptoms|To assess the users population","Weprom|Institut Pasteur|Assistance Publique - Hôpitaux de Paris|DOCAPOST|Direction Générale de l'Offre de Soins","All","18 Years and older   (Adult, Older Adult)",,"3000000","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","WP-2020-02","March 17, 2020","March 31, 2020","July 31, 2020","April 2, 2020",,"April 6, 2020","All French Emergency services, Le Mans, France",,"https://ClinicalTrials.gov/show/NCT04331171"
21,"NCT04317092","Tocilizumab in COVID-19 Pneumonia (TOCIVID-19)","TOCIVID-19","Recruiting","No Results Available","COVID-19 Pneumonia","Drug: Tocilizumab Injection","One-month mortality rate|Interleukin-6 level|Lymphocyte count|CRP (C-reactive protein) level|PaO2 (partial pressure of oxygen) / FiO2 (fraction of inspired oxygen, FiO2) ratio (or P/F ratio)|Change of the SOFA (Sequential Organ Failure Assessment)|Number of participants with treatment-related side effects as assessed by Common Terminology Criteria for Adverse Event (CTCAE) version 5.0|Radiological response|Duration of hospitalization|Remission of respiratory symptoms","National Cancer Institute, Naples","All","Child, Adult, Older Adult","Phase 2","400","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TOCIVID-19|2020-001110-38","March 19, 2020","December 19, 2020","December 19, 2022","March 20, 2020",,"April 7, 2020","Azienda Ospedaliera ""SS. Antonio e Biagio e C. Arrigo"" (Dipartimento Internistico SSD Reumatologia), Alessandria, Italy|Ospedale di Busto Arsizio ASST Valle Olona (U.O.C. Malattie Infettive), Busto Arsizio, Italy|A.O.U. Policlinico V. Emanuele (U.O. di Malattie infettive, U.O. di Anestesia e Rianimazione, U.O. di Medicina d'Urgenza), Catania, Italy|AOE Cannizzaro di Catania (U.O. di Malattie Infettive, U.O. di Anestesia e Rianimazione, U.O., Catania, Italy|Ospedale Annunziata Azienda Ospedaliera di Cosenza (U.O.C. Malattie Infettive), Cosenza, Italy|ASST OVEST MILANESE presidi Legnano - Magenta, Magenta, Italy|Azienda Ospedaliero-Universitaria di Modena, Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione I), Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione II), Modena, Italy|A.O.U. di Modena (Dipartimento Medicine Specialistiche - Struttura Complessa Malattie Infettive), Modena, Italy|Dipartimento Medicine Specialistiche - Struttura Complessa Malattie dell'Apparato Respiratorio, Modena, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Oncologia), Naples, Italy|National Cancer Institute, Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Anestesia Rianimazione e terapia intensiva), Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Malattie Infettive ad indirizzo respiratorio), Naples, Italy|A.O. Ospedali Riuniti Marche Nord - Presidio Ospedaliero San Salvatore di Pesaro (UOC Pronto Soccorso e Medicina d'Urgenza), Pesaro, Italy|Denominazione: UOC di Medicina e Chirurgia d'Accettazione e d'Urgenza dell'Ospedale Santa Maria delle Grazie di Pozzuoli, Pozzuoli, Italy|Ospedale Santa Maria delle Croci, AUSL della Romagna (U.O. Anestesia e Rianimazione), Ravenna, Italy|Grande Ospedale Metropolitano, Reggio Calabria, Reggio Calabria, Italy|Ospedale Infermi, AUSL della Romagna (U.O. Malattie Infettive), Rimini, Italy|Policlinico Gemelli (U.O.C. Dipartimento Scienze di Laboratorio e Infettivologiche), Rome, Italy|ASST Sette Laghi (Dipartimento di Medicina Interna), Varese, Italy|ASST Sette Laghi (Dipartimento Emergenze ed Urgenze), Varese, Italy|ASST Sette Laghi (U.O.C. Anestesia e Rianimazione Neurochirurgica e Generale), Varese, Italy|ASST Sette Laghi (U.O.C. Malattie Infettive e Tropicali), Varese, Italy|A.O.U. Integrata di Verona (Dip. Malattie Infettive), Verona, Italy|Ospedale Magalini (U.O. Malattie Infettive), Villafranca Di Verona, Italy",,"https://ClinicalTrials.gov/show/NCT04317092"
22,"NCT04328285","Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers","COVIDAXIS","Not yet recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Placebo of Hydroxychloroquine|Drug: Lopinavir and ritonavir|Drug: Placebo of LPV/r Tablets","Occurrence of an symptomatic or asymptomatic SARS-CoV-2 infection among healthcare workers (HCWs)|Evaluation of the occurrence of adverse events in each arm,|Evaluation of the discontinuation rates of the investigational drug in each arm,|Evaluation of the adherence of participants to study drug,|Evaluation of the incidence of symptomatic cases of SARS-CoV-2 infection in each arm,|Evaluation of the incidence of asymptomatic cases of SARS-CoV-2 infection in each arm|Evaluation of the incidence of severe cases of SARS-CoV-2 infection in each arm.","Centre Hospitalier Universitaire de Saint Etienne|Institut Pasteur","All","18 Years and older   (Adult, Older Adult)","Phase 3","1200","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","20PH061|2020-001188-96","March 30, 2020","November 30, 2020","November 30, 2020","March 31, 2020",,"March 31, 2020","CHU d'Angers, Angers, France|AP-HP - Hôpital Bichat, Paris, France|CHU de Saint-Etienne, Saint-Étienne, France",,"https://ClinicalTrials.gov/show/NCT04328285"
23,"NCT04330586","A Trial of Ciclesonide in Adults With Mild COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Ciclesonide Metered Dose Inhaler [Alvesco]|Drug: Hydroxychloroquine","Rate of SARS-CoV-2 eradication at day 14 from study enrollment|Rate of SARS-CoV-2 eradication at day 7 from study enrollment|Time to SARS-CoV-2 eradication (days)|Viral load area-under-the-curve (AUC) reduction versus control|Time to clinical improvement (days)|Proportion of clinical failure","Korea University Guro Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","141","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","KUMC-COVID-19","April 1, 2020","June 30, 2020","September 30, 2020","April 1, 2020",,"April 1, 2020",,,"https://ClinicalTrials.gov/show/NCT04330586"
24,"NCT04275947","The COVID-19 Mobile Health Study (CMHS)","CMHS","Recruiting","No Results Available","COVID-19","Other: nCapp, a cell phone-based auto-diagnosis system","Accuracy of nCapp COVID-19 risk diagnostic model","Chinese Alliance Against Lung Cancer|Shanghai Respiratory Research Institution","All","18 Years to 90 Years   (Adult, Older Adult)",,"450","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CAALC-008-CMHS","February 14, 2020","April 30, 2020","May 31, 2020","February 19, 2020",,"February 19, 2020","Renmin Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04275947"
25,"NCT04331899","Mild COVID-19 Peginterferon Lambda","COVID-Lambda","Not yet recruiting","No Results Available","COVID-19","Drug: Peginterferon Lambda-1a|Other: Standard of Care Treatment","Duration of Viral shedding of SARS-CoV-2 by qRT-PCR","Stanford University","All","18 Years to 64 Years   (Adult)","Phase 2","120","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","55619","April 15, 2020","May 31, 2021","May 31, 2022","April 2, 2020",,"April 2, 2020",,,"https://ClinicalTrials.gov/show/NCT04331899"
26,"NCT04337996","Dynamic Evaluation of COVID-19 Diagnostic Tests","TRODVID-19","Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: COVID-19 diagnostic test","Positive or negative character of the three tests|sensitivity and specificity of the tests according to the time elapsed since the first symptoms","Tourcoing Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","176","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","RIPH_2020_6","April 2020","July 2020","October 2020","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04337996"
